timestamp,machine_id,sensor_1_temp,sensor_2_vibration,product_id,defect_flag,production_stage,operator_id,shift,output_qty,hour,day,week,month,year,temp_anomaly_flag
2024-06-01 08:00:00,M003,64.2844232308904,0.0039965969294626,P1001,0,assembly,O120,3,8,8,1,22,6,2024,0
2024-06-01 08:05:00,M002,81.96854043217434,0.0037926288679381,P1002,0,testing,O137,1,8,8,1,22,6,2024,0
2024-06-01 08:10:00,M001,71.82310692654771,0.0031380622664148,P1001,0,packaging,O135,2,17,8,1,22,6,2024,0
2024-06-01 08:15:00,M001,69.22941170723284,0.0038427431032652,P1001,0,testing,O127,3,9,8,1,22,6,2024,0
2024-06-01 08:20:00,M002,78.40015544238638,0.0038304608246907,P1002,0,testing,O124,1,10,8,1,22,6,2024,0
2024-06-01 08:25:00,M004,71.02325483889216,0.0033078254635689,P1003,0,packaging,O120,1,9,8,1,22,6,2024,0
2024-06-01 08:30:00,M004,68.28984734190816,0.0027087086353288,P1003,0,packaging,O123,2,7,8,1,22,6,2024,0
2024-06-01 08:35:00,M001,69.06725110045802,0.0033151361691903,P1001,0,packaging,O131,1,7,8,1,22,6,2024,0
2024-06-01 08:40:00,M001,74.45128990969157,0.0026067642708643,P1002,0,packaging,O124,3,5,8,1,22,6,2024,0
2024-06-01 08:45:00,M002,65.48000251389018,0.0058150777294668,P1003,0,testing,O133,2,7,8,1,22,6,2024,0
2024-06-01 08:50:00,M002,79.68531432637238,0.0029953836588793,P1001,0,testing,O122,2,6,8,1,22,6,2024,0
2024-06-01 08:55:00,M003,70.15567805080846,0.0036401465617367,P1002,0,testing,O130,2,7,8,1,22,6,2024,0
2024-06-01 09:00:00,M002,75.95763603666515,0.0032216168619615,P1002,0,packaging,O128,2,8,9,1,22,6,2024,0
2024-06-01 09:05:00,M001,75.57124187934684,0.0032289278993322,P1001,0,packaging,O121,3,7,9,1,22,6,2024,0
2024-06-01 09:10:00,M003,74.95386987575755,0.0057339170345257,P1001,0,packaging,O121,3,7,9,1,22,6,2024,0
2024-06-01 09:15:00,M003,73.16355135829359,0.0047132899917995,P1001,0,assembly,O124,3,8,9,1,22,6,2024,0
2024-06-01 09:20:00,M001,75.07114098081362,0.0040620463313074,P1001,0,packaging,O123,2,13,9,1,22,6,2024,0
2024-06-01 09:25:00,M004,72.11979827990451,0.0025639931668493,P1001,0,testing,O122,1,10,9,1,22,6,2024,0
2024-06-01 09:30:00,M003,83.0142803831633,0.0028758103247101,P1002,0,packaging,O125,1,12,9,1,22,6,2024,0
2024-06-01 09:35:00,M001,76.61042829511536,0.0051863251082616,P1001,0,packaging,O136,2,18,9,1,22,6,2024,0
2024-06-01 09:40:00,M001,61.38855675618173,0.0039789588612181,P1003,0,packaging,O126,2,10,9,1,22,6,2024,0
2024-06-01 09:45:00,M001,80.96110171934225,0.0046677559189577,P1001,0,packaging,O134,2,11,9,1,22,6,2024,0
2024-06-01 09:50:00,M002,77.88784290791081,0.0031564092378922,P1003,0,packaging,O121,3,9,9,1,22,6,2024,0
