timestamp,machine_id,sensor_1_temp,sensor_2_vibration,product_id,defect_flag,production_stage,operator_id,shift,output_qty
2024-06-01 08:00:00,M003,64.2844232308904,0.003996596929462695,P1001,0,assembly,O120,3,8
2024-06-01 08:05:00,M002,81.96854043217434,0.0037926288679381408,P1002,0,testing,O137,1,8
2024-06-01 08:10:00,M001,71.82310692654771,0.003138062266414809,P1001,0,packaging,O135,2,17
2024-06-01 08:15:00,M001,69.22941170723284,0.0038427431032652636,P1001,0,testing,O127,3,9
2024-06-01 08:20:00,M002,78.40015544238638,0.003830460824690795,P1002,0,testing,O124,1,10
2024-06-01 08:25:00,M004,71.02325483889216,0.003307825463568954,P1003,0,packaging,O120,1,9
2024-06-01 08:30:00,M004,68.28984734190816,0.002708708635328887,P1003,0,packaging,O123,2,7
2024-06-01 08:35:00,M001,69.06725110045802,0.0033151361691903716,P1001,0,packaging,O131,1,7
2024-06-01 08:40:00,M001,74.45128990969157,0.0026067642708643484,P1002,0,packaging,O124,3,5
2024-06-01 08:45:00,M002,65.48000251389018,0.00581507772946686,P1003,0,testing,O133,2,7
2024-06-01 08:50:00,M002,79.68531432637238,0.002995383658879307,P1001,0,testing,O122,2,6
2024-06-01 08:55:00,M003,70.15567805080846,0.0036401465617367204,P1002,0,testing,O130,2,7
2024-06-01 09:00:00,M002,75.95763603666515,0.003221616861961566,P1002,0,packaging,O128,2,8
2024-06-01 09:05:00,M001,75.57124187934684,0.0032289278993322588,P1001,0,packaging,O121,3,7
2024-06-01 09:10:00,M003,74.95386987575755,0.005733917034525769,P1001,0,packaging,O121,3,7
2024-06-01 09:15:00,M003,73.16355135829359,0.0047132899917995364,P1001,0,assembly,O124,3,8
2024-06-01 09:20:00,M001,75.07114098081362,0.004062046331307426,P1001,0,packaging,O123,2,13
2024-06-01 09:25:00,M004,72.11979827990451,0.002563993166849389,P1001,0,testing,O122,1,10
2024-06-01 09:30:00,M003,83.0142803831633,0.0028758103247101654,P1002,0,packaging,O125,1,12
2024-06-01 09:35:00,M001,76.61042829511536,0.005186325108261656,P1001,0,packaging,O136,2,18
2024-06-01 09:40:00,M001,61.38855675618173,0.003978958861218194,P1003,0,packaging,O126,2,10
2024-06-01 09:45:00,M001,80.96110171934225,0.004667755918957737,P1001,0,packaging,O134,2,11
2024-06-01 09:50:00,M002,77.88784290791081,0.003156409237892244,P1003,0,packaging,O121,3,9
2024-06-01 09:55:00,M002,72.40447826483259,0.005017244936074361,P1002,0,testing,O135,2,15
2024-06-01 10:00:00,M001,74.53047037897117,0.004846815188111765,P1003,0,packaging,O120,3,8
2024-06-01 10:05:00,M002,70.24918765490072,0.0025628371228888103,P1001,0,assembly,O127,3,8
2024-06-01 10:10:00,M004,71.57425459076586,0.003771770913254329,P1001,0,packaging,O138,1,7
2024-06-01 10:15:00,M004,74.13281222182505,0.0034962849212418975,P1003,0,testing,O132,1,11
2024-06-01 10:20:00,M002,83.54858719222514,0.0038877577017258926,P1003,0,testing,O135,2,15
2024-06-01 10:25:00,M004,76.38563119788851,0.003457375377868205,P1003,0,assembly,O126,1,7
2024-06-01 10:30:00,M004,81.78843085258724,0.00365499443270958,P1002,0,assembly,O139,3,11
2024-06-01 10:35:00,M002,77.58831590943046,0.00377562411077315,P1002,0,assembly,O129,2,11
2024-06-01 10:40:00,M001,74.79532738068643,0.004654033937539091,P1001,0,assembly,O124,1,9
2024-06-01 10:45:00,M003,77.60075381403914,0.004805470893237029,P1003,0,testing,O137,2,11
2024-06-01 10:50:00,M004,75.63854560146977,0.0046098416686731055,P1002,0,testing,O122,1,11
2024-06-01 10:55:00,M002,77.37576091228331,0.004810585763418544,P1003,0,packaging,O126,2,11
2024-06-01 11:00:00,M004,74.10155908096466,0.0034324173766943637,P1002,0,packaging,O138,2,7
2024-06-01 11:05:00,M001,75.13801427092045,0.004275087539334175,P1002,0,testing,O122,1,4
2024-06-01 11:10:00,M004,77.88363486167984,0.003489166186059796,P1003,1,packaging,O139,1,6
2024-06-01 11:15:00,M004,72.89477157457576,0.0037140634678438102,P1003,0,packaging,O137,1,9
2024-06-01 11:20:00,M002,76.24872558853336,0.004208642414359766,P1003,0,packaging,O124,2,9
2024-06-01 11:25:00,M004,71.37149481688331,0.004442776814921477,P1002,0,testing,O137,3,8
2024-06-01 11:30:00,M001,69.67275621220081,0.003764531078682592,P1001,0,assembly,O129,1,5
2024-06-01 11:35:00,M004,72.81111786800288,0.0032354444497577875,P1001,0,packaging,O124,2,7
2024-06-01 11:40:00,M003,82.52157236392424,0.003373244427189887,P1002,0,packaging,O136,2,9
2024-06-01 11:45:00,M001,71.37969305571124,0.00408231012563161,P1001,0,packaging,O124,2,10
2024-06-01 11:50:00,M003,75.86853169678916,0.0031386704887343734,P1002,0,assembly,O130,1,8
